"","x"
"1065","Gdpd5"
"1066","Gemin5"
"1067","Gen1"
"1068","Gfer"
"1069","Gfod1"
"1070","Gfod2"
"1071","Gga1"
"1072","Ggt7"
"1073","Ghsr"
"1074","Gid4"
"1075","Gigyf2"
"1076","Gimap8"
"1077","Gja5"
"1078","Gjd2"
"1079","Gjd4"
"1080","Gla"
"1081","Glb1"
"1082","Glb1l"
"1083","Glb1l2"
"1084","Glb1l3"
"1085","Glipr2"
"1086","Gls2"
"1087","Gm10336"
"1088","Gm10389"
"1089","Gm10494"
"1090","Gm14092"
"1091","Gm15816"
"1092","Gm16497"
"1093","Gm17769"
"1094","Gm1966"
"1095","Gm19782"
"1096","Gm2762"
"1097","Gm4371"
"1098","Gm4759"
"1099","Gm4922"
"1100","Gm4961"
"1101","Gm5069"
"1102","Gm5113"
"1103","Gm5878"
"1104","Gm597"
"1105","Gm7337"
"1106","Gm884"
"1107","Gm960"
"1108","Gmip"
"1109","Gmnc"
"1110","Gmppa"
"1111","Gna11"
"1112","Gna12"
"1113","Gna15"
"1114","Gnai3"
"1115","Gnat1"
"1116","Gnb1l"
"1117","Gnb4"
"1118","Gne"
"1119","Gng3"
"1120","Gng4"
"1121","Gnl1"
"1122","Gnl2"
"1123","Gnpat"
"1124","Gns"
"1125","Golga1"
"1126","Golga7b"
"1127","Golm1"
"1128","Golph3"
"1129","Gpa33"
"1130","Gpaa1"
"1131","Gpatch4"
"1132","Gpbp1"
"1133","Gpc4"
"1134","Gpc5"
"1135","Gpc6"
"1136","Gpd1"
"1137","Gper1"
"1138","Gpkow"
"1139","Gpr1"
"1140","Gpr107"
"1141","Gpr135"
"1142","Gpr15"
"1143","Gpr151"
"1144","Gpr156"
"1145","Gpr171"
"1146","Gpr179"
"1147","Gpr20"
"1148","Gpr37"
"1149","Gpr39"
"1150","Gpr45"
"1151","Gpr65"
"1152","Gpr83"
"1153","Gpr87"
"1154","Gpr88"
"1155","Gprc5b"
"1156","Gprc5c"
"1157","Gpx3"
"1158","Gramd1b"
"1159","Gramd1c"
"1160","Grap"
"1161","Grap2"
"1162","Grb14"
"1163","Greb1"
"1164","Greb1l"
"1165","Grem1"
"1166","Grem2"
"1167","Grhl1"
"1168","Grik3"
"1169","Grik5"
"1170","Grin2d"
"1171","Grin3a"
"1172","Grm6"
"1173","Grm8"
"1174","Grsf1"
"1175","Grwd1"
"1176","Grxcr2"
"1177","Gsdmd"
"1178","Gskip"
"1179","Gsn"
"1180","Gspt1"
"1181","Gstt2"
"1182","Gtdc1"
"1183","Gtf2a1"
"1184","Gtf2f1"
"1185","Gtf2h3"
"1186","Gtf2i"
"1187","Gtf3c3"
"1188","Gtf3c4"
"1189","Gtse1"
"1190","Gucd1"
"1191","Gucy2g"
"1192","Gusb"
"1193","Gykl1"
"1194","Gys1"
"1195","Gzf1"
"1196","H2afy2"
"1197","Hacl1"
"1198","Hadh"
"1199","Hadha"
"1200","Hap1"
"1201","Hapln2"
"1202","Hars2"
"1203","Has2"
"1204","Haus8"
"1205","Hbegf"
"1206","Hcn3"
"1207","Hcrtr1"
"1208","Hdac11"
"1209","Hdac9"
"1210","Heatr6"
"1211","Hectd1"
"1212","Hectd2"
"1213","Heg1"
"1214","Helz"
"1215","Hemgn"
"1216","Hes2"
"1217","Hfe2"
"1218","Hgs"
"1219","Hhip"
"1220","Hhipl1"
"1221","Hhipl2"
"1222","Hif1an"
"1223","Hip1r"
"1224","Hipk1"
"1225","Hipk3"
"1226","Hist2h2be"
"1227","Hivep1"
"1228","Hivep3"
"1229","Hjurp"
"1230","Hk2"
"1231","Hk3"
"1232","Hmbox1"
"1233","Hmces"
"1234","Hmg20a"
"1235","Hmgcl"
"1236","Hmgcr"
"1237","Hmgxb3"
"1238","Hn1l"
"1239","Hnf4g"
"1240","Hnrnpf"
"1241","Hnrnpl"
"1242","Hnrnpul2"
"1243","Homer3"
"1244","Hoxa1"
"1245","Hoxb1"
"1246","Hoxc4"
"1247","Hoxc6"
"1248","Hoxc8"
"1249","Hp1bp3"
"1250","Hpn"
"1251","Hr"
"1252","Hrc"
"1253","Hs1bp3"
"1254","Hs3st2"
"1255","Hs3st3a1"
"1256","Hs3st5"
"1257","Hs6st2"
"1258","Hspa12b"
"1259","Hspa4"
"1260","Hspb8"
"1261","Hspbap1"
"1262","Htr1d"
"1263","Htr2c"
"1264","Htr3a"
"1265","Htr7"
"1266","Htra2"
"1267","Htt"
"1268","Hus1"
"1269","Hyal2"
"1270","Hyal3"
"1271","Hyal6"
"1272","Ibsp"
"1273","Ibtk"
"1274","Icam1"
"1275","Icos"
"1276","Icosl"
"1277","Ide"
"1278","Idh1"
"1279","Idh3a"
"1280","Ids"
"1281","Ier5"
"1282","Ifit1"
"1283","Ifit2"
"1284","Ifngr1"
"1285","Ifnlr1"
"1286","Ift122"
"1287","Ift80"
"1288","Igf2"
"1289","Igf2bp2"
"1290","Igfbp3"
"1291","Igfbp4"
"1292","Igfn1"
"1293","Igsf10"
"1294","Igsf11"
"1295","Igsf8"
"1296","Igsf9"
"1297","Ikbkap"
"1298","Ikbke"
"1299","Ikzf3"
"1300","Il10ra"
"1301","Il13ra1"
"1302","Il17rc"
"1303","Il1rn"
"1304","Il20ra"
"1305","Il20rb"
"1306","Il33"
"1307","Il4ra"
"1308","Il7r"
"1309","Ildr1"
"1310","Impa1"
"1311","Impact"
"1312","Impdh1"
"1313","Incenp"
"1314","Inf2"
"1315","Ing1"
"1316","Ing4"
"1317","Inhbb"
"1318","Inhbc"
"1319","Inpp4a"
"1320","Inpp5f"
"1321","Inpp5k"
"1322","Inppl1"
"1323","Insm1"
"1324","Ints1"
"1325","Ints2"
"1326","Ints4"
"1327","Intu"
"1328","Ip6k3"
"1329","Ipmk"
"1330","Ipo11"
"1331","Ipo4"
"1332","Ipo5"
"1333","Ipo8"
"1334","Iqcc"
"1335","Iqcd"
"1336","Iqsec2"
"1337","Irak3"
"1338","Irgm1"
"1339","Irx3"
"1340","Islr"
"1341","Ism1"
"1342","Isoc1"
"1343","Itch"
"1344","Itfg1"
"1345","Itga1"
"1346","Itga11"
"1347","Itga2"
"1348","Itga3"
"1349","Itgal"
"1350","Itgam"
"1351","Itgb2"
"1352","Itgb3"
"1353","Itpkb"
"1354","Itpripl1"
"1355","Iws1"
"1356","Jakmip2"
"1357","Jazf1"
"1358","Jmy"
"1359","Josd1"
"1360","Jph2"
"1361","Jrk"
"1362","Jup"
"1363","Kank3"
"1364","Kansl1"
"1365","Kansl1l"
"1366","Kansl2"
"1367","Kansl3"
"1368","Kat2b"
"1369","Kbtbd2"
