,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
6832,0.06978404414510482,4,Nhlrc2,441.6430444369237,12.436248467530646,-5.922962163405614,-1.921445609362702,0.19233073151042995,SE,98,0.01636766225038321,3.2230100151784855,0.0041484832763671875,30.185794241493518,-6.274039062676593,0.3510768992709785,0.5535041556864009,0.9595801761992182
2656,0.9999545948948106,4,Ccnl2,76.77721626664899,4.5399929762484854e-05,3.1236757170413227,-1.9319678176852866,3.733970644308937,SE,98,11.36826187656435,3993397318.5441456,0.00168609619140625,12.092518480599644,2.77306907591327,0.35060664112805284,0.5537699259897857,0.9595801761992182
3761,0.5558783331650711,4,Cyb5r2,137.5662945790639,0.7964957496763236,-3.348618100270528,-1.4741744595148623,1.0838175418846336,SE,98,2.488185281060782,47.53739207380189,0.001941680908203125,25.037106115223345,-3.699178091245642,0.35055999097511403,0.5537963038350273,0.9595801761992182
4566,0.35432810343537036,4,Mapk7,137.5662945790639,1.8166343935497367,3.1943101660711335,-0.2573130865665348,0.04091174685430496,SE,98,0.8318931021803734,17.938221872161627,0.0019378662109375,11.951249582540022,2.843760174543803,0.35054999152733046,0.5538019582275828,0.9595801761992182
337,0.9999545948948106,4,Esrrb,76.77721626664899,4.5399929762484854e-05,-10.072349631731413,-2.0092853649363547,4.0513176545985905,SE,98,12.889175275549583,4527657661.532314,0.0008809566497802734,38.484569178145115,-10.422576498479657,0.350226866748244,0.553984734402952,0.9595801761992182
8739,0.05110867656959323,4,Selplg,791.3180511624732,15.323755322297687,-20.578272878139387,-0.6656114192070105,0.019135506035920156,SE,98,0.016655793822067284,5.682080376106877,0.003541707992553711,59.49641567096106,-20.928109343039907,0.3498364649005197,0.5542057179162443,0.9595801761992182
8952,0.026998467844075905,4,Gpr20,1417.851511493707,23.155752761122475,7.352738088453265,-2.032316243519625,0.07387567976437875,SE,98,0.011176959275985214,12.40595978613391,0.0022988319396972656,3.63439373777576,7.002973024197075,0.34976506425618936,0.5542461516222835,0.9595801761992182
7463,0.06299153790450035,4,Dgkb,441.6430444369237,13.877877235943053,6.246279945685103,-2.996442816515395,0.4277378434504972,SE,98,0.014642302730614485,3.445925169272745,0.004500150680541992,5.847310023312083,5.896741164531704,0.34953878115339876,0.5543743310379824,0.9595801761992182
521,0.9999545948948108,4,Jmy,76.77721626664899,4.5399929762484854e-05,-16.588208155704592,-2.7390530180797334,7.477075003074914,SE,98,11.523049684289171,4047770557.208725,0.0016624927520751953,51.516286226091474,-16.937508402145653,0.34930024644106084,0.5545095110874043,0.9595801761992182
6404,0.1695386819467809,4,Trmt10a,246.48569360067208,4.805700293057631,14.755727622940341,-0.9649427155469464,0.13064244620838952,SE,98,0.07795807988983477,3.7849787691530716,0.002813100814819336,-11.171585331198393,14.406568882791845,0.34915874014849635,0.5545897335784618,0.9595801761992182
3841,0.510292118658853,4,Frs2,137.5662945790639,0.9567081659881733,-14.874860433289442,-0.8876888773050439,0.39355934687112987,SE,98,3.0805846166763913,57.740223252680586,0.0012764930725097656,48.08959078126117,-15.223933089190325,0.34907265590088343,0.5546385470343236,0.9595801761992182
4923,0.4657104580717133,4,Usp32,137.5662945790639,1.1437258342102885,1.6583897640524938,-2.889696520410534,3.4732178888676595,SE,98,1.5872453956614474,29.95171947779037,0.0019388198852539062,15.023090386577302,1.309409865099468,0.3489798989530257,0.5546911532863319,0.9595801761992182
8783,0.04124094956810379,4,Myom2,791.3180511624732,19.18775608049071,15.69119002833375,-0.8593045045250607,0.022337400262348917,SE,98,0.009853040169731628,4.963568117996978,0.0035860538482666016,-13.042510141985211,15.342556730187852,0.3486332981458986,0.5548878082515194,0.9595801761992182
6969,0.0670968922101013,4,Zfp597,441.6430444369237,12.971669495342992,3.9605021384653583,-2.0323171986343236,0.2078979079485466,SE,98,0.016446671459533695,3.4666384660801572,0.0047359466552734375,10.418865637751573,3.612471239358314,0.34803089910704443,0.5552299123565168,0.9595801761992182
7835,0.029588819772438723,4,Lrp10,791.3180511624732,27.068956712929168,-2.7036503574268806,-1.0750735552769077,0.02815730306737903,SE,98,0.005438303638065219,5.078637857090909,0.0035359859466552734,23.74717062953605,-3.051578609502826,0.34792825207594547,0.5552882456877247,0.9595801761992182
8119,0.04786610993931033,4,Zfp131,791.3180511624732,16.417735639853955,-7.553265139090399,-1.988280116056513,0.121319016946089,SE,98,0.01296813988874981,4.9792880421775045,0.0032186508178710938,33.44640019286309,-7.901078155537988,0.34781301644758855,0.5553537468202452,0.9595801761992182
6964,0.07877955322110897,4,Zfp148,441.6430444369237,10.909674548586342,3.8361505320209517,-1.7187173047596602,0.16731294768451396,SE,98,0.027169963892678926,4.34723919437261,0.007181644439697266,10.667568850640386,3.4886341052142313,0.34751642680672035,0.5555223987478981,0.9595801761992182
4178,0.5053050608032968,4,Tbc1d10b,137.5662945790639,0.9759893254317104,9.131744261946281,-1.4950251310540434,1.0165502519828613,SE,98,3.7502211299036676,70.2569976162759,0.0013158321380615234,0.07638139078972728,8.784431866071003,0.34731239587527796,0.5556384746555271,0.9595801761992182
6187,0.15321058009405808,4,Zfp185,246.48569360067208,5.422414876265661,-7.748359293401066,-1.4851591988414596,0.2802121194870755,SE,98,0.0702570451479365,3.9340870520131452,0.002376079559326172,33.83658850148442,-8.09516838035023,0.3468090869491647,0.5559250103343986,0.9595801761992182
9092,0.04054032094908434,4,Tcf23,1417.851511493707,15.206317156740925,-3.003399549035663,-1.3505193254873387,0.04101663366268102,SE,98,0.013669330145556876,7.10619747027902,0.002237558364868164,24.346669012753615,-3.349669588515667,0.3462700394800038,0.5562322028264173,0.9595801761992182
130,0.9999545948948108,4,Btla,76.77721626664899,4.5399929762484854e-05,-3.306699980806826,-2.3497756149188347,5.504986662460451,SE,98,13.19645949557236,4635599226.707033,0.0016353130340576172,24.95326987629594,-3.652908343292097,0.346208362485271,0.556267371846273,0.9595801761992182
9956,0.014794620522093418,4,Gpr12,2540.4486927750327,26.55852329427761,-8.620435492586267,-1.6331037283624186,0.034441790933137824,SE,98,0.0024343009038197906,8.561148764282876,0.0022649765014648438,35.580740899854824,-8.966533343901915,0.34609785131564763,0.5563303972931775,0.9595801761992182
